Profile: Function timing, sorted by time
Date:    Tue Jan 18 21:11:44 2000


Programmstatistik
-----------------
    2000 Jan 18 21:11 Befehlszeile: minscript -f div.ic   
    Gesamtzeit: 137,180 Millisekunden
    Zeit ausserhalb von Funktionen: 11,211 Millisekunden
    Aufruftiefe: 17
    Gesamtfunktionen: 1652
    Gesamtaufrufe: 119787
    Funktionsabdeckung: 28,8%
    Berechneter Verwaltungsaufwand: 7
    Durchschnittlicher Aufwand: 7

Modulstatistik fuer minipdll.dll
--------------------------------
    Zeit innerhalb des Moduls: 125,969 Millisekunden
    100,0% Prozent im Modul
    1652 Funktionen im Modul
    Aufrufe im Modul: 119787 
    Modulfunktionsabdeckung: 28,8%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
      35,030  27,8       37,830  30,0      576 std::list<class minToken,class std::allocator<class minToken> >::erase(class std::list<class minToken,class std::allocator<class minToken> >::iterator) (mintokenizer.obj)
      16,498  13,1       17,026  13,5     2089 std::list<class minToken,class std::allocator<class minToken> >::const_iterator::operator++(void) (mintokenizer.obj)
       4,561   3,6       19,759  15,7      504 std::list<char,class std::allocator<char> >::insert(class std::list<char,class std::allocator<char> >::iterator,char const &) (mintokenizer.obj)
       4,159   3,3        4,159   3,3     6327 std::list<char,class std::allocator<char> >::_Acc::_Next(struct std::list<char,class std::allocator<char> >::_Node *) (mintokenizer.obj)
       4,041   3,2       31,903  25,3       86 minTokenizer::CheckForKnownToken(class minToken &,bool) (mintokenizer.obj)
       2,920   2,3        3,395   2,7     2159 std::list<class minToken,class std::allocator<class minToken> >::const_iterator::operator*(void) (mintokenizer.obj)
       2,879   2,3        6,887   5,5      504 std::list<char,class std::allocator<char> >::erase(class std::list<char,class std::allocator<char> >::iterator) (mintokenizer.obj)
       2,728   2,2        2,728   2,2     3920 std::list<char,class std::allocator<char> >::iterator::iterator(struct list<char,class std::allocator<char> >::iterator::_Node *) (mintokenizer.obj)
       2,671   2,1        4,274   3,4      520 std::allocator<char>::_Charalloc(unsigned int) (mintokenizer.obj)
       2,656   2,1       10,047   8,0        8 InitDefaultTokenizer(class minTokenizer &) (minip.obj)
